"Rating";"Style";"Price";"Size";"Season";"NeckLine";"SleeveLength";"waiseline";"Material";"FabricType";"Decoration";"Pattern";"Class"
4,4;"casual";"low";"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"animal";"1"
0;"party";"high";"m";"winter";"sweetheart";"sleevless";"natural";"cotton";"chiffon";"pearls";"solid";"1"
4,6;"casual";"average";"l";"summer";"bowneck";"full";"dropped";"cotton";"chiffon";"lace";"patchwork";"1"
4;"vintage";"low";"free";"summer";"turndowncollor";"short";"natural";"cotton";"wollen";"hollowout";"solid";"1"
4,8;"casual";"low";"free";"spring";"o-neck";"full";"natural";"cotton";"worsted";"lace";"solid";"1"
4,6;"work";"average";"l";"summer";"slash-neck";"short";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,7;"party";"high";"m";"winter";"sweetheart";"sleeveless";"natural";"cotton";"chiffon";"flowers";"solid";"1"
4,9;"brief";"average";"xl";"spring";"slash-neck";"full";"natural";"cotton";"chiffon";"sashes";"solid";"1"
4,9;"sexy";"average";"free";"summer";"sqare-collor";"sleevless";"natural";"polyster";"chiffon";"sashes";"print";"1"
4,6;"sexy";"average";"m";"winter";"o-neck";"full";"natural";"polyster";"chiffon";"lace";"patchwork";"2"
4,8;"bohemian";"average";"l";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"lace";"solid";"1"
0;"casual";"low";"free";"autumn";"peterpan-collor";"threequarter";"empire";"cotton";"chiffon";"lace";"solid";"1"
4,5;"casual";"low";"free";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"button";"solid";"1"
4,7;"casual";"low";"s";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"patchwork";"1"
4,6;"casual";"low";"free";"autumn";"o-neck";"halfsleeve";"natural";"chiffonfabric";"chiffon";"lace";"leapord";"2"
4,7;"cute";"average";"m";"summer";"o-neck";"sleevless";"natural";"chiffonfabric";"chiffon";"sashes";"splice";"1"
0;"casual";"high";"l";"winter";"v-neck";"thressqatar";"natural";"polyster";"chiffon";"ruffles";"solid";"2"
4,5;"sexy";"average";"m";"spring";"o-neck";"threequarter";"natural";"polyster";"chiffon";"lace";"geometric";"1"
4,6;"casual";"high";"m";"summer";"sweetheart";"sleevless";"empire";"cotton";"chiffon";"beading";"solid";"2"
4,5;"cute";"low";"m";"summer";"o-neck";"butterfly";"natural";"chiffonfabric";"chiffon";"bow";"dot";"1"
4,5;"vintage";"average";"l";"winter";"o-neck";"short";"empire";"cotton";"chiffon";"sequined";"patchwork";"2"
4,9;"vintage";"average";"free";"summer";"o-neck";"urndowncollor";"empire";"cotton";"chiffon";"lace";"solid";"1"
4,6;"casual";"average";"free";"autumn";"o-neck";"sleevless";"natural";"polyster";"chiffon";"sashes";"solid";"2"
4,8;"casual";"medium";"m";"winter";"peterpan-collor";"short";"natural";"polyster";"chiffon";"lace";"patchwork";"1"
0;"casual";"low";"m";"spring";"o-neck";"sleevless";"natural";"silk";"chiffon";"applique";"solid";"2"
0;"sexy";"low";"free";"summer";"v-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"solid";"1"
4,6;"work";"average";"l";"spring";"o-neck";"short";"empire";"cotton";"jersey";"lace";"patchwork";"1"
4,8;"sexy";"average";"l";"spring";"v-neck";"threequarter";"empire";"polyster";"chiffon";"lace";"geometric";"1"
5;"casual";"low";"m";"summer";"v-neck";"sleevless";"empire";"polyster";"chiffon";"ruffles";"animal";"1"
0;"sexy";"average";"free";"autumn";"o-neck";"full";"natural";"polyster";"sattin";"hollowout";"solid";"1"
5;"cute";"average";"m";"autumn";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
5;"party";"average";"m";"spring";"sweetheart";"sleevless";"natural";"polyster";"chiffon";"lace";"solid";"2"
4,5;"casual";"medium";"s";"winter";"o-neck";"full";"natural";"polyster";"chiffon";"lace";"patchwork";"2"
4;"casual";"low";"free";"summer";"v-neck";"sleevless";"natural";"cotton";"broadcloth";"hollowout";"print";"1"
0;"casual";"low";"s";"autumn";"o-neck";"full";"natural";"cotton";"chiffon";"beading";"solid";"2"
4,8;"sexy";"low";"free";"summer";"slash-neck";"sleevless";"empire";"silk";"chiffon";"lace";"solid";"1"
0;"cute";"high";"m";"spring";"v-neck";"full";"natural";"rayon";"chiffon";"lace";"solid";"2"
5;"casual";"average";"s";"spring";"turndowncollor";"full";"empire";"cotton";"worsted";"lace";"solid";"1"
0;"casual";"low";"m";"summer";"v-neck";"full";"natural";"acrylic";"chiffon";"lace";"solid";"1"
0;"casual";"average";"s";"summer";"o-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"solid";"1"
4;"bohemian";"average";"free";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"ruffles";"striped";"1"
5;"party";"average";"free";"summer";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,7;"brief";"low";"free";"autumn";"o-neck";"sleevless";"natural";"cotton";"shiffon";"sequined";"solid";"1"
5;"casual";"low";"free";"spring";"v-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"2"
5;"casual";"average";"m";"autumn";"v-neck";"short";"natural";"cotton";"broadcloth";"beading";"solid";"1"
4,7;"casual";"low";"l";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
0;"casual";"average";"free";"spring";"o-neck";"short";"natural";"cotton";"chiffon";"hollowout";"plaid";"1"
4,9;"work";"average";"m";"summer";"sqare-collor";"halfsleeve";"empire";"polyster";"sattin";"sashes";"solid";"1"
4,9;"cute";"low";"m";"autumn";"o-neck";"short";"natural";"chiffonfabric";"chiffon";"bow";"dot";"1"
4,8;"casual";"average";"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"sashes";"solid";"1"
1;"casual";"low";"m";"spring";"o-neck";"halfsleeve";"natural";"cotton";"chiffon";"lace";"solid";"1"
0;"work";"average";"m";"autumn";"slash-neck";"sleevless";"natural";"polyster";"chiffon";"bow";"patchwork";"1"
4,7;"cute";"average";"l";"summer";"o-neck";"sleevless";"natural";"polyster";"broadcloth";"lace";"solid";"1"
0;"cute";"low";"l";"spring";"o-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"solid";"2"
4,6;"casual";"low";"free";"autumn";"o-neck";"full";"natural";"rayon";"chiffon";"lace";"solid";"2"
4,7;"casual";"average";"s";"spring";"o-neck";"halfsleeve";"empire";"cotton";"chiffon";"lace";"solid";"2"
0;"party";"average";"m";"spring";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,7;"sexy";"low";"m";"winter";"slash-neck";"sleevless";"natural";"nylon";"chiffon";"sashes";"solid";"2"
0;"cute";"low";"free";"winter";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,5;"casual";"low";"free";"autumn";"v-neck";"short";"natural";"silk";"worsted";"lace";"solid";"1"
5;"casual";"low";"m";"summer";"boat-neck";"short";"natural";"cotton";"chiffon";"sashes";"solid";"1"
0;"casual";"low";"free";"spring";"o-neck";"short";"natural";"cotton";"chiffon";"hollowout";"solid";"1"
0;"casual";"average";"m";"autumn";"o-neck";"short";"empire";"polyster";"chiffon";"applique";"print";"1"
4,8;"vintage";"average";"m";"summer";"o-neck";"short";"empire";"cotton";"jersey";"lace";"animal";"2"
4,7;"work";"average";"m";"spring";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,8;"sexy";"low";"free";"spring";"v-neck";"sleevless";"natural";"cotton";"chiffon";"sequined";"solid";"2"
4,4;"cute";"average";"free";"spring";"sweetheart";"sleevless";"empire";"spandex";"tulle";"ruched";"solid";"2"
0;"casual";"medium";"free";"winter";"bowneck";"full";"natural";"cashmere";"knitted";"lace";"solid";"2"
4,6;"casual";"low";"free";"winter";"o-neck";"full";"natural";"polyster";"chiffon";"applique";"solid";"1"
5;"work";"average";"m";"summer";"o-neck";"sleveless";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,7;"bohemian";"low";"free";"winter";"o-neck";"short";"natural";"nylon";"chiffon";"sashes";"print";"1"
0;"casual";"low";"free";"spring";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"print";"1"
4,9;"cute";"medium";"s";"summer";"bowneck";"sleevless";"empire";"cotton";"chiffon";"bow";"patchwork";"2"
4,8;"sexy";"low";"free";"spring";"slash-neck";"sleevless";"natural";"cotton";"broadcloth";"sequined";"solid";"1"
4,4;"party";"average";"free";"autumn";"v-neck";"threequarter";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,6;"casual";"average";"m";"winter";"v-neck";"full";"natural";"chiffonfabric";"chiffon";"lace";"solid";"1"
4,5;"sexy";"average";"s";"winter";"v-neck";"sleevless";"natural";"polyster";"chiffon";"lace";"solid";"1"
0;"casual";"average";"m";"spring";"o-neck";"sleevless";"natural";"silk";"chiffon";"lace";"print";"1"
4,7;"casual";"low";"l";"summer";"o-neck";"full";"natural";"mix";"worsted";"lace";"patchwork";"2"
5;"sexy";"average";"m";"summer";"o-neck";"sleeveless";"natural";"polyster";"broadcloth";"rivet";"solid";"1"
4,6;"casual";"average";"m";"winter";"v-neck";"halfsleeve";"natural";"silk";"chiffon";"sashes";"solid";"2"
4,6;"casual";"low";"s";"spring";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"2"
0;"sexy";"low";"free";"winter";"v-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"solid";"2"
4,8;"casual";"average";"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
0;"cute";"high";"m";"winter";"o-neck";"threequarter";"empire";"silk";"chiffon";"lace";"patchwork";"1"
4,4;"bohemian";"low";"l";"summer";"bowneck";"short";"natural";"cotton";"chiffon";"lace";"dot";"1"
4,7;"casual";"low";"m";"autumn";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,6;"work";"medium";"l";"winter";"sqare-collor";"short";"empire";"cotton";"chiffon";"tiered";"solid";"1"
4,6;"cute";"medium";"free";"spring";"o-neck";"short";"natural";"chiffonfabric";"chiffon";"hollowout";"solid";"2"
4,9;"party";"very-high";"m";"spring";"sweetheart";"sleevless";"natural";"silk";"chiffon";"beading";"solid";"2"
4,7;"sexy";"low";"free";"summer";"turndowncollor";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,8;"casual";"low";"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"print";"2"
4,4;"casual";"low";"free";"summer";"turndowncollor";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,8;"casual";"average";"l";"autumn";"o-neck";"short";"natural";"cashmere";"chiffon";"lace";"solid";"1"
0;"casual";"average";"xl";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"1"
5;"casual";"low";"m";"spring";"o-neck";"sleeevless";"natural";"chiffonfabric";"chiffon";"lace";"solid";"2"
0;"casual";"average";"l";"spring";"boat-neck";"sleevless";"natural";"cotton";"chiffon";"applique";"patchwork";"2"
4,6;"brief";"average";"m";"winter";"peterpan-collor";"threequarter";"natural";"cotton";"chiffon";"lace";"solid";"1"
0;"sexy";"average";"m";"winter";"o-neck";"short";"natural";"cotton";"chiffon";"lace";"solid";"1"
0;"flare";"average";"free";"spring";"v-neck";"short";"empire";"cotton";"broadcloth";"beading";"solid";"2"
4,8;"vintage";"average";"l";"winter";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"patchwork";"1"
4,5;"casual";"average";"m";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"1"
4;"fashion";"average";"free";"summer";"open";"full";"natural";"cotton";"chiffon";"sequined";"solid";"1"
4,4;"casual";"low";"free";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"pockets";"solid";"1"
0;"novelty";"average";"free";"summer";"o-neck";"full";"natural";"cotton";"sattin";"hollowout";"solid";"1"
4,6;"casual";"low";"m";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"sashes";"striped";"1"
0;"casual";"low";"free";"summer";"v-neck";"halfsleeve";"natural";"silk";"broadcloth";"applique";"solid";"1"
4,8;"casual";"low";"m";"winter";"v-neck";"sleevless";"natural";"polyster";"chiffon";"lace";"print";"1"
4,7;"casual";"low";"m";"summer";"o-neck";"sleevless";"empire";"milksilk";"chiffon";"lace";"solid";"1"
4,5;"party";"average";"l";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,6;"party";"very-high";"free";"summer";"o-neck";"sleevless";"empire";"rayon";"chiffon";"hollowout";"solid";"1"
4,3;"cute";"average";"l";"winter";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,6;"brief";"average";"free";"winter";"o-neck";"full";"natural";"mix";"chiffon";"sashes";"solid";"1"
4,6;"sexy";"low";"m";"summer";"o-neck";"sleevless";"empire";"cotton";"chiffon";"ruffles";"animal";"2"
4,5;"party";"high";"m";"winter";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,9;"casual";"medium";"l";"spring";"sqare-collor";"sleevless";"empire";"cotton";"chiffon";"lace";"print";"1"
0;"casual";"average";"xl";"winter";"v-neck";"short";"empire";"polyster";"shiffon";"pockets";"solid";"2"
0;"casual";"low";"free";"winter";"o-neck";"halfsleeve";"natural";"polyster";"worsted";"lace";"patchwork";"2"
4,6;"cute";"average";"m";"spring";"o-neck";"halfsleeve";"natural";"acrylic";"chiffon";"lace";"solid";"1"
4,9;"casual";"average";"s";"winter";"turndowncollor";"full";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,3;"casual";"low";"free";"summer";"backless";"sleevless";"empire";"chiffonfabric";"chiffon";"crystal";"solid";"1"
4,7;"casual";"average";"m";"summer";"o-neck";"thressqatar";"natural";"chiffonfabric";"chiffon";"ruched";"solid";"1"
5;"bohemian";"average";"m";"spring";"slash-neck";"sleevless";"empire";"cotton";"chiffon";"ruffles";"solid";"2"
4,8;"sexy";"low";"free";"spring";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"striped";"2"
0;"vintage";"high";"l";"summer";"o-neck";"short";"natural";"cotton";"chiffon";"lace";"print";"1"
4,9;"casual";"low";"l";"summer";"boat-neck";"short";"natural";"cotton";"chiffon";"lace";"patchwork";"2"
0;"casual";"average";"l";"spring";"o-neck";"halfsleeve";"natural";"polyster";"chiffon";"hollowout";"solid";"2"
4,6;"sexy";"low";"free";"spring";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"leopard";"2"
4,6;"casual";"average";"l";"autumn";"o-neck";"sleevless";"empire";"polyster";"chiffon";"ruffles";"solid";"1"
4,5;"cute";"average";"l";"winter";"v-neck";"sleevless";"natural";"polyster";"jersey";"sashes";"solid";"2"
4,8;"casual";"average";"m";"summer";"v-neck";"full";"natural";"cotton";"shiffon";"lace";"solid";"1"
0;"casual";"average";"s";"winter";"slash-neck";"halfsleeve";"natural";"nylon";"broadcloth";"lace";"solid";"1"
5;"casual";"low";"m";"spring";"o-neck";"sleevless";"natural";"spandex";"jersey";"lace";"print";"1"
0;"sexy";"very-high";"free";"winter";"v-neck";"sleevless";"natural";"polyster";"knitting";"lace";"solid";"1"
4,5;"sexy";"average";"m";"summer";"bowneck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,1;"party";"very-high";"m";"winter";"scoop";"short";"natural";"cotton";"lace";"applique";"solid";"2"
0;"casual";"average";"free";"spring";"o-neck";"short";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,7;"brief";"low";"m";"winter";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"patchwork";"1"
0;"casual";"medium";"free";"spring";"o-neck";"sleevless";"natural";"cotton";"broadcloth";"sequined";"solid";"2"
5;"casual";"high";"free";"summer";"v-neck";"sleevless";"natural";"nylon";"chiffon";"lace";"solid";"2"
5;"casual";"average";"m";"winter";"o-neck";"sleevless";"natural";"cotton";"chiffon";"sashes";"solid";"2"
4,8;"party";"average";"m";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"2"
5;"sexy";"low";"free";"spring";"v-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"solid";"1"
4,8;"sexy";"average";"free";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"embroidary";"solid";"1"
5;"sexy";"average";"m";"autumn";"o-neck";"sleevless";"empire";"milksilk";"chiffon";"lace";"solid";"2"
4,8;"vintage";"low";"s";"summer";"o-neck";"short";"natural";"cotton";"chiffon";"ruffles";"print";"1"
0;"casual";"low";"free";"winter";"boat-neck";"full";"natural";"other";"other";"lace";"solid";"1"
4,4;"casual";"average";"free";"summer";"o-neck";"capsleeves";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,7;"casual";"average";"xl";"summer";"v-neck";"halfsleeve";"natural";"cotton";"broadcloth";"lace";"print";"2"
0;"cute";"average";"xl";"spring";"boat-neck";"full";"natural";"cotton";"worsted";"applique";"dot";"2"
4,7;"cute";"average";"m";"spring";"o-neck";"full";"natural";"rayon";"chiffon";"beading";"solid";"2"
4,6;"vintage";"low";"m";"summer";"o-neck";"short";"natural";"cotton";"chiffon";"lace";"print";"1"
4,4;"casual";"low";"m";"summer";"o-neck";"halfsleeve";"empire";"chiffonfabric";"chiffon";"bow";"solid";"1"
4,4;"casual";"low";"free";"summer";"v-neck";"short";"empire";"cotton";"corduroy";"lace";"solid";"1"
4,9;"party";"very-high";"l";"spring";"slash-neck";"sleevless";"natural";"cotton";"chiffon";"flowers";"solid";"2"
4,7;"cute";"average";"l";"winter";"o-neck";"sleevless";"natural";"chiffonfabric";"chiffon";"lace";"solid";"1"
0;"sexy";"average";"free";"spring";"v-neck";"full";"natural";"cotton";"wollen";"lace";"solid";"2"
4,8;"sexy";"low";"l";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
5;"casual";"average";"free";"winter";"o-neck";"sleevless";"natural";"polyster";"broadcloth";"lace";"solid";"2"
4,6;"sexy";"low";"l";"autumn";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,4;"casual";"average";"m";"summer";"o-neck";"short";"empire";"cotton";"chiffon";"lace";"patchwork";"1"
5;"casual";"low";"free";"spring";"bowneck";"sleevless";"natural";"silk";"chiffon";"applique";"print";"1"
0;"flare";"average";"free";"spring";"v-neck";"short";"natural";"nylon";"chiffon";"lace";"animal";"1"
4,3;"sexy";"low";"m";"autumn";"open";"short";"natural";"lace";"chiffon";"lace";"print";"1"
4,6;"bohemian";"average";"m";"spring";"o-neck";"sleevless";"natural";"shiffon";"shiffon";"sashes";"solid";"1"
5;"casual";"average";"xl";"autumn";"o-neck";"short";"natural";"chiffonfabric";"chiffon";"lace";"solid";"1"
4,4;"casual";"low";"m";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"lace";"solid";"1"
4,7;"casual";"average";"m";"spring";"o-neck";"sleevless";"natural";"cotton";"chiffon";"sashes";"solid";"1"
4,2;"sexy";"average";"m";"winter";"v-neck";"sleevless";"natural";"cotton";"flannael";"lace";"solid";"1"
0;"sexy";"average";"free";"winter";"slash-neck";"sleevless";"natural";"cotton";"broadcloth";"sequined";"solid";"2"
4,7;"casual";"low";"s";"autumn";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,7;"casual";"low";"m";"spring";"o-neck";"full";"natural";"polyster";"chiffon";"lace";"solid";"2"
4,4;"sexy";"low";"free";"autumn";"v-neck";"sleevless";"natural";"cotton";"worsted";"lace";"solid";"1"
4,7;"bohemian";"average";"l";"autumn";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,8;"sexy";"low";"l";"summer";"v-neck";"full";"natural";"cotton";"jersey";"applique";"print";"2"
5;"cute";"low";"l";"winter";"o-neck";"threequarter";"natural";"silk";"chiffon";"sashes";"print";"1"
5;"sexy";"average";"m";"summer";"v-neck";"sleevless";"empire";"cotton";"chiffon";"sequined";"solid";"2"
4,6;"party";"high";"m";"summer";"slash-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,7;"cute";"average";"l";"summer";"o-neck";"sleevless";"natural";"cotton";"worsted";"lace";"print";"1"
4,7;"party";"average";"m";"spring";"v-neck";"sleevless";"natural";"polyster";"chiffon";"hollowout";"solid";"1"
4,5;"sexy";"low";"l";"spring";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,3;"casual";"average";"s";"spring";"boat-neck";"full";"natural";"cotton";"chiffon";"lace";"patchwork";"2"
4,7;"casual";"low";"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"print";"1"
4,7;"casual";"low";"free";"spring";"o-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"floral";"1"
4,6;"casual";"low";"free";"winter";"o-neck";"full";"natural";"polyster";"chiffon";"applique";"solid";"2"
4,4;"casual";"average";"l";"autumn";"o-neck";"halfsleeve";"natural";"cotton";"dobby";"lace";"animal";"1"
4,3;"casual";"low";"m";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
0;"sexy";"average";"free";"autumn";"v-neck";"sleevless";"natural";"polyster";"chiffon";"lace";"patchwork";"1"
4,8;"casual";"low";"xl";"summer";"o-neck";"short";"empire";"mix";"chiffon";"sashes";"geometric";"1"
5;"casual";"low";"s";"spring";"o-neck";"sleevless";"natural";"chiffonfabric";"chiffon";"lace";"print";"1"
4,7;"sexy";"average";"m";"autumn";"slash-neck";"sleevless";"natural";"nylon";"chiffon";"rivet";"solid";"1"
4,7;"casual";"low";"l";"autumn";"o-neck";"short";"natural";"polyster";"shiffon";"lace";"patchwork";"2"
4,6;"casual";"average";"free";"winter";"v-neck";"full";"natural";"cotton";"flannel";"lace";"striped";"1"
4,8;"sexy";"average";"s";"winter";"v-neck";"sleevless";"empire";"polyster";"chiffon";"lace";"solid";"1"
4,5;"casual";"average";"m";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"ruched";"striped";"1"
4,8;"casual";"average";"m";"summer";"o-neck";"halfsleeve";"natural";"cotton";"chiffon";"lace";"solid";"1"
0;"casual";"high";"l";"winter";"v-neck";"full";"natural";"polyster";"chiffon";"lace";"solid";"1"
4,6;"casual";"average";"m";"autumn";"o-neck";"short";"empire";"polyster";"chiffon";"applique";"dot";"1"
4,6;"bohemian";"low";"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"none";"solid";"2"
