"Rating";"Style";"Price";"Size";"Season";"NeckLine";"SleeveLength";"waiseline";"Material";"FabricType";"Decoration";"Pattern";"Class"
4,7;"casual";"low";"m";"winter";"o-neck";"full";"empire";"polyster";"chiffon";"lace";"print";"2"
4,6;"casual";"medium";"m";"winter";"o-neck";"full";"natural";"cashmere";"chiffon";"lace";"solid";"2"
4,7;"casual";"low";"s";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"patchwork";"1"
4,7;"sexy";"low";"m";"winter";"o-neck";"threequarter";"natural";"cotton";"chiffon";"lace";"print";"2"
0;"casual";"low";"l";"summer";"o-neck";"petal";"natural";"microfiber";"chiffon";"ruffles";"animal";"1"
4,8;"casual";"low";"l";"summer";"v-neck";"thressqatar";"natural";"cotton";"chiffon";"lace";"print";"1"
4,7;"party";"high";"m";"spring";"o-neck";"threequarter";"natural";"cotton";"chiffon";"lace";"print";"1"
4,7;"casual";"low";"free";"winter";"o-neck";"sleevless";"natural";"milksilk";"chiffon";"lace";"animal";"1"
4,7;"vintage";"average";"m";"summer";"v-neck";"short";"natural";"rayon";"chiffon";"beading";"print";"1"
4,8;"work";"average";"l";"winter";"v-neck";"short";"natural";"mix";"broadcloth";"lace";"solid";"1"
4,4;"casual";"low";"free";"winter";"halter";"sleevless";"natural";"cotton";"chiffon";"draped";"solid";"2"
4,7;"casual";"average";"s";"summer";"v-neck";"short";"natural";"cotton";"chiffon";"lace";"dot";"1"
5;"vintage";"average";"m";"summer";"v-neck";"thressqatar";"natural";"polyster";"chiffon";"lace";"print";"1"
4,5;"casual";"average";"free";"summer";"o-neck";"short";"natural";"polyster";"chiffon";"lace";"solid";"1"
5;"casual";"average";"xl";"winter";"boat-neck";"full";"natural";"cotton";"chiffon";"lace";"geometric";"2"
5;"bohemian";"medium";"free";"autumn";"o-neck";"full";"natural";"cotton";"chiffon";"hollowout";"patchwork";"2"
4,3;"casual";"average";"m";"winter";"slash-neck";"sleeveless";"natural";"polyster";"chiffon";"sashes";"solid";"1"
4,6;"brief";"low";"m";"summer";"o-neck";"short";"natural";"cotton";"chiffon";"lace";"animal";"1"
4,7;"cute";"low";"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"print";"2"
4,7;"casual";"average";"m";"winter";"v-neck";"sleevless";"empire";"polyster";"chiffon";"applique";"print";"1"
0;"sexy";"average";"s";"summer";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,8;"casual";"average";"m";"winter";"o-neck";"threequarter";"natural";"cotton";"chiffon";"lace";"print";"2"
4,8;"cute";"average";"l";"autumn";"slash-neck";"sleevless";"natural";"cotton";"chiffon";"hollowout";"solid";"1"
4,5;"sexy";"low";"free";"summer";"o-neck";"sleevless";"empire";"cotton";"chiffon";"sashes";"solid";"2"
0;"casual";"average";"free";"winter";"v-neck";"full";"natural";"cashmere";"chiffon";"lace";"solid";"2"
4,3;"vintage";"average";"free";"winter";"o-neck";"short";"natural";"chiffonfabric";"chiffon";"lace";"print";"1"
5;"casual";"low";"free";"winter";"o-neck";"full";"natural";"wool";"chiffon";"applique";"solid";"1"
4,8;"casual";"average";"m";"autumn";"v-neck";"short";"natural";"cotton";"chiffon";"embroidary";"print";"2"
4,8;"party";"medium";"s";"spring";"v-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"solid";"2"
4,4;"sexy";"low";"free";"summer";"bowneck";"sleevless";"natural";"viscos";"chiffon";"bow";"solid";"1"
4,4;"casual";"average";"l";"autumn";"o-neck";"sleevless";"natural";"linen";"chiffon";"ruffles";"animal";"1"
5;"bohemian";"low";"free";"spring";"o-neck";"short";"natural";"nylon";"jersey";"sashes";"print";"2"
0;"sexy";"average";"l";"autumn";"v-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"patchwork";"1"
4,5;"vintage";"average";"l";"autumn";"o-neck";"sleevless";"empire";"cotton";"worsted";"lace";"solid";"1"
4,6;"casual";"very-high";"m";"winter";"o-neck";"short";"natural";"cotton";"chiffon";"flowers";"solid";"2"
4,8;"casual";"average";"l";"winter";"o-neck";"short";"natural";"cotton";"chiffon";"pockets";"solid";"2"
5;"sexy";"high";"m";"summer";"v-neck";"sleevless";"natural";"mix";"chiffon";"lace";"striped";"1"
0;"casual";"medium";"l";"winter";"boat-neck";"full";"empire";"cotton";"chiffon";"lace";"solid";"2"
0;"vintage";"average";"m";"spring";"o-neck";"halfsleeve";"empire";"polyster";"chiffon";"lace";"animal";"1"
5;"casual";"low";"m";"autumn";"o-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"print";"2"
0;"casual";"average";"xl";"winter";"o-neck";"short";"empire";"polyster";"chiffon";"button";"solid";"1"
4,6;"casual";"average";"l";"winter";"boat-neck";"sleevless";"empire";"silk";"broadcloth";"applique";"print";"2"
4,5;"cute";"low";"l";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"sashes";"solid";"2"
4,8;"casual";"average";"free";"winter";"o-neck";"sleevless";"natural";"polyster";"chiffon";"sashes";"solid";"1"
0;"casual";"low";"l";"winter";"v-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"1"
0;"cute";"low";"free";"spring";"v-neck";"sleevless";"empire";"chiffonfabric";"chiffon";"lace";"solid";"2"
4,9;"casual";"medium";"l";"winter";"o-neck";"short";"natural";"cotton";"broadcloth";"sashes";"solid";"1"
4,1;"casual";"average";"m";"autumn";"v-neck";"full";"natural";"cotton";"chiffon";"sashes";"solid";"2"
4,7;"casual";"average";"m";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"dot";"1"
0;"casual";"medium";"m";"spring";"v-neck";"threequarter";"natural";"silk";"chiffon";"ruffles";"solid";"2"
0;"sexy";"low";"free";"winter";"o-neck";"sleevless";"natural";"lycra";"chiffon";"hollowout";"solid";"1"
0;"sexy";"low";"free";"summer";"v-neck";"sleevless";"dropped";"cotton";"chiffon";"lace";"solid";"2"
0;"vintage";"average";"s";"spring";"o-neck";"full";"natural";"mix";"chiffon";"embroidary";"print";"1"
4,3;"cute";"average";"m";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
0;"casual";"low";"free";"spring";"v-neck";"threequarter";"natural";"silk";"chiffon";"lace";"solid";"2"
4,7;"party";"very-high";"l";"winter";"slash-neck";"sleevless";"empire";"viscos";"chiffon";"beading";"solid";"2"
0;"casual";"average";"free";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"floral";"1"
4,7;"sexy";"low";"free";"summer";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
0;"party";"very-high";"m";"winter";"sweetheart";"sleevless";"natural";"polyster";"chiffon";"beading";"solid";"2"
4,8;"casual";"low";"free";"spring";"o-neck";"sleevless";"natural";"chiffonfabric";"chiffon";"lace";"print";"2"
4,3;"cute";"high";"m";"spring";"boat-neck";"full";"natural";"polyster";"terry";"lace";"solid";"2"
5;"cute";"medium";"free";"winter";"o-neck";"sleevless";"natural";"silk";"chiffon";"lace";"solid";"2"
5;"casual";"average";"m";"spring";"o-neck";"thressqatar";"natural";"spandex";"chiffon";"lace";"solid";"1"
0;"novelty";"average";"s";"winter";"turndowncollor";"full";"natural";"cotton";"chiffon";"lace";"patchwork";"1"
4,9;"brief";"average";"free";"winter";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
0;"sexy";"average";"s";"autumn";"v-neck";"sleevless";"empire";"cotton";"chiffon";"beading";"solid";"1"
4,8;"party";"high";"m";"summer";"sweetheart";"sleevless";"princess";"cotton";"sattin";"lace";"solid";"2"
4,6;"cute";"average";"free";"spring";"v-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,6;"casual";"low";"free";"autumn";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"2"
0;"casual";"average";"free";"spring";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
0;"casual";"average";"l";"winter";"open";"short";"natural";"mix";"poplin";"applique";"solid";"2"
5;"party";"average";"m";"winter";"o-neck";"capsleeves";"empire";"polyster";"chiffon";"lace";"solid";"2"
4,5;"casual";"average";"m";"spring";"v-neck";"short";"empire";"cotton";"chiffon";"button";"solid";"2"
3,5;"casual";"average";"m";"winter";"v-neck";"short";"natural";"cotton";"chiffon";"lace";"solid";"1"
0;"party";"very-high";"m";"winter";"v-neck";"cap-sleeves";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,7;"casual";"average";"l";"summer";"o-neck";"sleevless";"natural";"silk";"chiffon";"beading";"solid";"1"
4,7;"casual";"medium";"m";"spring";"o-neck";"sleevless";"natural";"cotton";"chiffon";"bow";"solid";"2"
0;"casual";"average";"free";"winter";"o-neck";"short";"natural";"polyster";"chiffon";"cascading";"solid";"1"
0;"party";"average";"m";"spring";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
0;"sexy";"average";"s";"autumn";"slash-neck";"short";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,8;"casual";"low";"free";"spring";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"print";"1"
0;"casual";"average";"l";"spring";"o-neck";"sleevless";"natural";"chiffonfabric";"chiffon";"sequined";"solid";"1"
4,6;"bohemian";"low";"free";"summer";"v-neck";"sleevless";"natural";"cotton";"broadcloth";"beading";"solid";"1"
4,7;"brief";"average";"m";"winter";"o-neck";"halfsleeve";"natural";"acrylic";"chiffon";"lace";"striped";"1"
4,4;"casual";"low";"free";"spring";"o-neck";"sleevless";"natural";"polyster";"chiffon";"sashes";"print";"1"
4,7;"vintage";"medium";"free";"spring";"turndowncollor";"sleevless";"natural";"mix";"chiffon";"lace";"solid";"2"
4,8;"vintage";"average";"m";"summer";"v-neck";"full";"natural";"rayon";"poplin";"lace";"solid";"2"
4,7;"casual";"average";"m";"autumn";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"animal";"2"
4,8;"party";"very-high";"l";"spring";"sweetheart";"sleevless";"empire";"microfiber";"organza";"beading";"solid";"2"
0;"cute";"average";"m";"summer";"o-neck";"short";"natural";"cotton";"chiffon";"lace";"print";"1"
4,3;"sexy";"low";"free";"winter";"v-neck";"sleevless";"natural";"silk";"worsted";"lace";"solid";"2"
4,8;"sexy";"low";"m";"autumn";"v-neck";"full";"natural";"cotton";"chiffon";"lace";"print";"2"
4,7;"casual";"low";"free";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,7;"casual";"average";"m";"summer";"v-neck";"full";"empire";"cotton";"chiffon";"lace";"solid";"2"
4,7;"casual";"low";"free";"summer";"o-neck";"capsleeves";"natural";"chiffonfabric";"chiffon";"lace";"print";"2"
5;"sexy";"average";"l";"winter";"o-neck";"threequarter";"natural";"polyster";"chiffon";"lace";"geometric";"1"
0;"casual";"average";"free";"winter";"o-neck";"halfsleeve";"empire";"polyster";"chiffon";"hollowout";"solid";"1"
4,8;"sexy";"low";"m";"spring";"o-neck";"halfsleeve";"natural";"silk";"chiffon";"lace";"solid";"1"
4,5;"casual";"average";"free";"summer";"o-neck";"short";"natural";"cotton";"chiffon";"lace";"solid";"2"
0;"bohemian";"average";"l";"winter";"turndowncollor";"full";"natural";"mix";"chiffon";"lace";"solid";"1"
4,3;"casual";"average";"m";"spring";"o-neck";"halfsleeve";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,7;"bohemian";"very-high";"free";"winter";"v-neck";"sleevless";"natural";"polyster";"chiffon";"lace";"solid";"2"
0;"casual";"average";"l";"spring";"boat-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,8;"casual";"average";"m";"winter";"o-neck";"short";"natural";"lycra";"broadcloth";"applique";"patchwork";"1"
4,5;"casual";"average";"l";"winter";"o-neck";"short";"natural";"cotton";"chiffon";"bow";"patchwork";"1"
4,3;"casual";"low";"free";"spring";"o-neck";"full";"natural";"cotton";"chiffon";"sashes";"none";"2"
0;"casual";"average";"m";"summer";"o-neck";"threequarter";"natural";"nylon";"broadcloth";"lace";"solid";"2"
4,4;"casual";"low";"free";"summer";"o-neck";"sleevless";"natural";"polyster";"chiffon";"sashes";"print";"1"
0;"work";"average";"s";"autumn";"o-neck";"sleevless";"natural";"linen";"chiffon";"lace";"patchwork";"1"
4,6;"party";"medium";"s";"winter";"scoop";"short";"empire";"cotton";"chiffon";"crystal";"solid";"1"
0;"party";"average";"m";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"patchwork";"2"
5;"bohemian";"low";"free";"summer";"o-neck";"sleevless";"empire";"cotton";"broadcloth";"tassel";"print";"2"
0;"vintage";"average";"l";"summer";"sqare-collor";"short";"empire";"cotton";"chiffon";"lace";"dot";"2"
4,1;"sexy";"average";"free";"summer";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,7;"casual";"average";"l";"autumn";"o-neck";"halfsleeve";"natural";"cotton";"chiffon";"lace";"solid";"1"
0;"sexy";"low";"m";"spring";"v-neck";"short";"natural";"polyster";"satin";"ruffles";"solid";"2"
5;"casual";"average";"l";"winter";"o-neck";"thressqatar";"natural";"polyster";"chiffon";"applique";"solid";"1"
0;"ol";"medium";"m";"winter";"mandarin-collor";"halfsleeve";"natural";"cotton";"chiffon";"sashes";"solid";"1"
4,2;"casual";"average";"m";"winter";"v-neck";"full";"empire";"polyster";"chiffon";"lace";"patchwork";"2"
4,5;"casual";"average";"m";"winter";"v-neck";"sleevless";"natural";"cotton";"chiffon";"button";"striped";"1"
4,8;"casual";"average";"l";"autumn";"boat-neck";"sleevless";"natural";"cotton";"chiffon";"sashes";"solid";"1"
4,8;"work";"average";"m";"winter";"turndowncollor";"full";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,5;"bohemian";"low";"m";"summer";"v-neck";"sleevless";"natural";"polyster";"chiffon";"lace";"print";"2"
5;"bohemian";"low";"xl";"spring";"v-neck";"thressqatar";"natural";"cotton";"shiffon";"lace";"print";"2"
4,6;"sexy";"low";"free";"summer";"v-neck";"sleevless";"natural";"cotton";"broadcloth";"beading";"solid";"1"
4,4;"casual";"average";"m";"summer";"turndowncollor";"sleevless";"natural";"chiffonfabric";"chiffon";"lace";"solid";"1"
4,9;"casual";"high";"s";"spring";"o-neck";"threequarter";"natural";"cotton";"chiffon";"lace";"dot";"2"
4,8;"bohemian";"low";"free";"summer";"o-neck";"short";"natural";"cotton";"chiffon";"lace";"animal";"2"
5;"sexy";"medium";"m";"winter";"o-neck";"sleevless";"empire";"polyster";"chiffon";"bow";"solid";"1"
4,2;"novelty";"medium";"m";"winter";"o-neck";"halfsleeve";"natural";"polyster";"chiffon";"hollowout";"animal";"2"
4,5;"casual";"average";"free";"autumn";"o-neck";"halfsleeve";"natural";"cotton";"chiffon";"hollowout";"solid";"2"
4,7;"sexy";"low";"m";"winter";"v-neck";"sleevless";"natural";"polyster";"chiffon";"lace";"striped";"1"
0;"casual";"very-high";"small";"spring";"o-neck";"full";"natural";"cotton";"chiffon";"applique";"solid";"1"
5;"casual";"low";"free";"spring";"slash-neck";"sleevless";"empire";"spandex";"chiffon";"lace";"striped";"2"
4,6;"casual";"average";"m";"spring";"o-neck";"sleevless";"natural";"cotton";"chiffon";"sashes";"solid";"2"
4,7;"cute";"low";"m";"spring";"o-neck";"short";"empire";"polyster";"chiffon";"ruffles";"dot";"2"
5;"sexy";"low";"free";"spring";"o-neck";"full";"natural";"cotton";"worsted";"lace";"striped";"1"
4,7;"casual";"average";"l";"summer";"v-neck";"short";"natural";"cotton";"chiffon";"lace";"print";"2"
5;"sexy";"low";"free";"summer";"v-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"animal";"2"
4,6;"work";"average";"m";"spring";"v-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"1"
0;"casual";"average";"m";"winter";"o-neck";"full";"natural";"cotton";"jersey";"feathers";"solid";"2"
0;"brief";"average";"m";"winter";"peterpan-collor";"threequarter";"natural";"cotton";"chiffon";"lace";"patchwork";"1"
4,7;"casual";"low";"free";"winter";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,7;"casual";"low";"l";"autumn";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"print";"1"
5;"party";"average";"m";"spring";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
0;"casual";"average";"free";"winter";"v-neck";"full";"natural";"cotton";"chiffon";"ruffles";"print";"1"
4,6;"brief";"average";"l";"spring";"o-neck";"full";"natural";"silk";"chiffon";"embroidary";"print";"2"
4,7;"party";"average";"free";"spring";"sweetheart";"sleevless";"empire";"rayon";"chiffon";"beading";"solid";"2"
4,7;"party";"average";"m";"spring";"o-neck";"halfsleeve";"empire";"cotton";"shiffon";"lace";"patchwork";"1"
4,7;"work";"low";"free";"summer";"o-neck";"full";"empire";"cotton";"chiffon";"lace";"solid";"1"
0;"casual";"average";"free";"autumn";"v-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,2;"party";"very-high";"l";"winter";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,5;"casual";"average";"l";"spring";"o-neck";"short";"natural";"cotton";"chiffon";"lace";"patchwork";"1"
5;"work";"average";"free";"winter";"o-neck";"half";"natural";"microfiber";"chiffon";"lace";"solid";"1"
4,7;"cute";"average";"l";"spring";"o-neck";"short";"natural";"cotton";"chiffon";"sashes";"solid";"2"
4,7;"cute";"low";"m";"spring";"ruffled";"short";"empire";"chiffonfabric";"chiffon";"bow";"dot";"2"
4,9;"novelty";"average";"m";"autumn";"o-neck";"short";"natural";"polyster";"chiffon";"none";"print";"1"
0;"bohemian";"average";"free";"spring";"o-neck";"sleevless";"natural";"rayon";"chiffon";"lace";"striped";"2"
0;"party";"medium";"free";"winter";"v-neck";"short";"empire";"cotton";"chiffon";"lace";"solid";"2"
4,9;"party";"very-high";"m";"spring";"v-neck";"sleevless";"empire";"cotton";"sattin";"beading";"solid";"2"
4,7;"casual";"average";"m";"autumn";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"striped";"2"
4,8;"casual";"low";"free";"winter";"bowneck";"full";"natural";"polyster";"chiffon";"bow";"solid";"1"
4,8;"brief";"average";"free";"winter";"v-neck";"halfsleeve";"natural";"polyster";"broadcloth";"lace";"solid";"1"
0;"sexy";"low";"free";"autumn";"slash-neck";"short";"empire";"cotton";"chiffon";"hollowout";"solid";"1"
0;"sexy";"average";"m";"autumn";"o-neck";"sleevless";"empire";"cotton";"broadcloth";"lace";"print";"1"
4,9;"party";"very-high";"m";"spring";"sweetheart";"sleeevless";"empire";"cotton";"chiffon";"beading";"solid";"2"
0;"casual";"average";"free";"summer";"v-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"patchwork";"1"
4,3;"cute";"low";"free";"autumn";"o-neck";"sleevless";"natural";"polyster";"chiffon";"sashes";"striped";"1"
0;"casual";"low";"l";"summer";"o-neck";"sleevless";"natural";"cotton";"jersey";"lace";"print";"1"
4,5;"casual";"average";"l";"spring";"boat-neck";"thressqatar";"natural";"cotton";"dobby";"lace";"animal";"2"
4,7;"casual";"average";"xl";"winter";"v-neck";"short";"empire";"milksilk";"chiffon";"lace";"print";"1"
3,7;"casual";"average";"free";"autumn";"boat-neck";"full";"natural";"cotton";"chiffon";"lace";"solid";"2"
0;"casual";"medium";"m";"autumn";"v-neck";"short";"empire";"polyster";"chiffon";"lace";"solid";"1"
4,6;"party";"high";"m";"winter";"sweetheart";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
0;"cute";"average";"m";"winter";"o-neck";"short";"natural";"polyster";"chiffon";"sashes";"solid";"1"
4,3;"sexy";"low";"free";"summer";"o-neck";"full";"empire";"cotton";"chiffon";"lace";"solid";"1"
4,6;"vintage";"average";"free";"winter";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"print";"2"
5;"party";"very-high";"m";"spring";"slash-neck";"sleevless";"natural";"chiffonfabric";"chiffon";"flowers";"solid";"2"
4,3;"brief";"average";"m";"spring";"o-neck";"full";"natural";"mix";"worsted";"sequined";"patchwork";"2"
4,9;"brief";"average";"free";"summer";"slash-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"1"
0;"casual";"average";"free";"summer";"bowneck";"halfsleeve";"natural";"cotton";"chiffon";"lace";"solid";"1"
5;"casual";"average";"free";"summer";"v-neck";"sleevless";"natural";"modal";"chiffon";"lace";"patchwork";"1"
4,6;"bohemian";"low";"free";"winter";"o-neck";"sleevless";"empire";"polyster";"chiffon";"lace";"patchwork";"2"
5;"casual";"average";"l";"summer";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
0;"casual";"average";"m";"spring";"o-neck";"halfsleeve";"natural";"cotton";"chiffon";"lace";"solid";"1"
4,5;"casual";"low";"free";"winter";"o-neck";"full";"natural";"mix";"worsted";"applique";"solid";"1"
0;"casual";"average";"xl";"spring";"bowneck";"sleevless";"natural";"mix";"chiffon";"lace";"solid";"1"
4,8;"party";"medium";"m";"spring";"o-neck";"sleevless";"natural";"silk";"chiffon";"crystal";"solid";"2"
3;"casual";"average";"m";"spring";"turndowncollor";"short";"empire";"polyster";"chiffon";"sashes";"patchwork";"1"
4,4;"sexy";"low";"free";"autumn";"o-neck";"full";"empire";"cotton";"chiffon";"lace";"leopard";"1"
0;"casual";"low";"free";"summer";"o-neck";"full";"natural";"cotton";"chiffon";"lace";"patchwork";"1"
0;"party";"very-high";"m";"winter";"o-neck";"full";"natural";"cotton";"chiffon";"feathers";"solid";"2"
0;"cute";"low";"free";"summer";"peterpan-collor";"short";"empire";"cotton";"broadcloth";"applique";"print";"1"
5;"party";"average";"m";"spring";"o-neck";"halfsleeve";"natural";"cotton";"chiffon";"lace";"solid";"2"
4,6;"casual";"average";"m";"spring";"o-neck";"halfsleeve";"natural";"polyster";"chiffon";"lace";"solid";"1"
0;"cute";"average";"l";"summer";"o-neck";"sleevless";"empire";"cotton";"chiffon";"lace";"solid";"2"
4,7;"casual";"average";"l";"spring";"v-neck";"halfsleeve";"natural";"cotton";"broadcloth";"lace";"print";"2"
4,5;"casual";"low";"m";"winter";"o-neck";"short";"natural";"chiffonfabric";"chiffon";"lace";"solid";"1"
0;"casual";"average";"m";"summer";"o-neck";"halfsleeve";"natural";"cotton";"chiffon";"ruffles";"dot";"2"
4,7;"casual";"low";"l";"spring";"o-neck";"short";"natural";"chiffonfabric";"chiffon";"lace";"solid";"1"
4,7;"sexy";"average";"m";"spring";"o-neck";"sleevless";"natural";"cotton";"chiffon";"lace";"solid";"2"
