"timestamp";"customer";"job_number";"grain_screened";"proof_on_ctd_ink";"paper_type";"ink_type";"solvent_type";"type_on_cylinder";"press_type";"press";"unit_number";"cylinder_size";"paper_mill_location";"plating_tank";"proof_cut";"viscosity";"ink_temperature";"humifity";"roughness";"blade_pressure";"varnish_pct";"press_speed";"ink_pct";"solvent_pct";"ESA_Voltage";"ESA_Amperage";"wax";"hardener";"roller_durometer";"current_density";"anode_space_ratio";"chrome_content";"band_type"
"19911102";"64";"35880";"2";"2";"2";"1";"1";"2";"4";"816";2;"4";"1";"1911";40;40;14,9;75;0,625;28;4,3;2000;53,2;42,5;4;0;2,5;1,5;30;5;117,86;3;"band"
"19900910";"53";"47105";"3";"3";"2";"1";"1";"2";"2";"813";9;"2";"3";"1910";55;47;14;71;0,25;16;0;1600;62,5;37,5;0;0;2,5;0,7;40;5;90,3;3;"noband"
"19900606";"19";"36024";"3";"3";"2";"3";"1";"1";"4";"815";2;"4";"1";"1910";55;54;15;82;0,75;38;0;1800;58,8;41,2;0;0;2;1;33;3;100;3;"noband"
"19900706";"6";"34583";"2";"3";"2";"1";"1";"2";"3";"827";2;"4";"1";"1911";45;55;14;73;0,75;30;0;2100;61,1;38,9;0;0;2,5;0,8;33;5;96,8;3;"band"
"19901007";"15";"38059";"3";"3";"4";"3";"1";"2";"1";"802";7;"2";"3";"1911";42;52;16,8;80;0,625;40;0;1700;54,3;45,7;3;0;3;1;34;5;107,4;3;"noband"
"19901208";"7";"38120";"3";"3";"4";"2";"1";"2";"4";"815";2;"2";"3";"1910";45;43;20;84;0,625;33;35,8;1200;41,7;22;0;0;2,5;0,5;40;5;106,25;3;"band"
"19910111";"48";"37351";"2";"3";"4";"1";"1";"2";"4";"816";2;"4";"1";"1910";50;46;17;80;0,75;30;0;2100;57,5;42,5;5;0;2,3;0,6;35;5;106,67;3;"noband"
"19901206";"50";"36805";"3";"3";"4";"3";"1";"1";"4";"815";2;"4";"2";"1910";50;42;17;88;0,75;30;0;1600;62,5;27,5;5;0;2,6;1;38;5;106,25;3;"band"
"19910206";"48";"37352";"2";"3";"4";"1";"1";"2";"4";"815";9;"4";"3";"1911";37;44;16,5;91;0,75;30;21,7;2050;43,5;34,8;0;0;2,7;0,8;35;5;107,4;3;"noband"
"19910426";"53";"47203";"3";"3";"4";"3";"1";"2";"1";"802";2;"2";"3";"1910";50;50;15,7;90;0,75;50;0;1420;62,5;37,5;0;0;3;1,35;40;5;106,45;3;"noband"
"19910316";"48";"37355";"2";"3";"4";"1";"1";"2";"3";"828";9;"4";"4";"1910";40;44;16,1;78;0,9375;30;5,6;1800;55,6;38,9;0;0;2;1;35;5;103,22;3;"noband"
"19910322";"44";"38051";"2";"3";"4";"1";"1";"2";"4";"816";2;"4";"1";"1911";60;49;14,9;77;0,75;27;0;1650;58,8;41,2;0;0;2,5;0,7;33;5;103,33;3;"noband"
"19900924";"53";"47105";"3";"3";"4";"3";"1";"2";"2";"813";1;"2";"3";"1911";60;48;14;76;1;16;5,6;1600;55,6;38,8;0;0;2,5;0,7;40;5;96,97;1;"noband"
"19901107";"48";"36166";"2";"3";"4";"1";"1";"1";"3";"828";2;"4";"3";"1910";45;43;16;80;0,75;30;3,1;2200;51;45,9;0;0;2,5;1,3;35;5;103,33;3;"noband"
"19910917";"22";"37575";"2";"3";"2";"1";"1";"2";"3";"824";2;"4";"1";"1910";30;37;17;78;0,8125;30;0;1700;58,8;41,2;0;0;2,5;1,2;30;5;106,25;3;"band"
"19910311";"48";"27386";"2";"3";"4";"3";"1";"1";"3";"827";2;"4";"5";"1911";65;40;16,4;72;1;26;0;2000;62,5;37,5;0;0;2,5;1;40;5;106,45;3;"band"
"19941010";"10";"38064";"2";"3";"3";"3";"3";"2";"1";"815";1;"4";"1";"1910";70;46;14,2;75;0,75;25;35,8;2050;41,3;30;0;4;2,5;1;60;5;108,1;3;"band"
"19901107";"48";"36166";"2";"3";"4";"1";"1";"1";"3";"828";9;"4";"3";"1910";50;43;15,5;72;0,75;30;5,1;2200;50,6;44,3;0;0;2,5;1,3;35;5;96,77;3;"noband"
"19910304";"48";"37386";"3";"3";"4";"3";"1";"2";"3";"827";2;"4";"5";"1910";40;47;24,5;78;0,875;30;8,8;2100;54,9;36,3;16;0;2,3;1;40;5;100;3;"band"
"19900824";"23";"34399";"3";"3";"4";"3";"1";"2";"2";"813";1;"2";"3";"1911";40;54;15;70;0,05625;16;10;2600;50;40;0;0;2,5;0,8;60;1;100;3;"noband"
"19900606";"65";"25424";"3";"3";"4";"3";"3";"2";"3";"821";2;"4";"3";"1911";40;54;14,6;85;0,25;20;21,7;1850;43,5;34,8;0;0;2,5;0,8;40;2;93,3;3;"noband"
"19900910";"53";"47105";"3";"3";"4";"3";"1";"2";"2";"813";1;"2";"3";"1911";65;47;12;68;0,25;20;0;1600;58,8;41,2;0;0;2,8;0,8;40;3;106,25;3;"noband"
"19910409";"6";"37168";"2";"3";"2";"1";"1";"2";"4";"815";2;"4";"1";"1911";30;63;13;94;1;29;0;1800;56,2;43,8;0;0;2,5;1;30;5;110;3;"band"
"19911211";"34";"37018";"2";"3";"2";"1";"1";"2";"4";"816";2;"3";"1";"1911";42;47;16,2;78;0,75;30;0;2100;56,2;43,8;0;0;2,5;1,2;33;5;110;3;"band"
"19910117";"38";"35539";"3";"3";"4";"3";"1";"2";"3";"821";2;"4";"3";"1911";50;43;16;75;1;20;15,8;1600;49,5;34,7;0;0;2,5;1;38;5;103,22;3;"noband"
"19910611";"6";"37177";"2";"3";"2";"1";"1";"2";"3";"828";2;"4";"1";"1910";40;56;17;82;0,75;30;0;2550;52,6;47,4;0;0;2;1;33;5;103,22;3;"noband"
"19910724";"66";"35522";"3";"3";"4";"3";"1";"1";"1";"802";7;"2";"1";"1911";37;65;16;80;0,625;50;6,6;1640;54,9;38,5;3;0;3;1;32;5;103,13;3;"band"
"19910517";"64";"35982";"2";"2";"2";"1";"1";"1";"3";"824";2;"4";"1";"1910";47;67;16;74;0,8125;38;0;1900;58,8;41,2;2;0;2,5;1,1;33;5;103,125;3;"noband"
"19910125";"33";"23052";"3";"3";"4";"3";"1";"2";"3";"821";7;"4";"3";"1911";40;45;14,5;70;0,625;25;0;1500;59,5;40,5;0;0;2;1;40;5;100;3;"band"
"19910727";"6";"37182";"2";"3";"2";"1";"1";"2";"3";"821";7;"4";"1";"1911";45;58;15;72;0,625;25;10,5;2100;52,6;36,8;5;0;2,5;0,8;33;5;103,125;3;"noband"
"19901117";"12";"34442";"3";"3";"4";"3";"1";"1";"3";"821";7;"4";"3";"1910";50;43;14;74;0,625;20;2,2;1800;56,2;41,6;0;0;3;1;38;5;96,875;3;"band"
"19910614";"59";"35759";"2";"3";"2";"1";"1";"2";"3";"827";2;"4";"1";"1910";45;69;15,6;72;0,75;21;5,6;2426;55,6;38,9;0;0;2,85;1,1;30;5;103,22;3;"noband"
"19900812";"63";"34549";"2";"3";"2";"1";"1";"1";"4";"815";2;"3";"1";"1911";45;54;14;90;0,75;30;0;2000;58,8;41,2;0;0;3;1;33;5;103,3;3;"noband"
"19901209";"33";"23048";"3";"3";"4";"3";"1";"2";"3";"821";7;"4";"1";"1910";40;42;15,5;64;0,625;20;10,5;1550;52,6;36,9;0;0;2;0,6;40;5;106,25;3;"noband"
"19901125";"64";"34759";"2";"2";"2";"1";"1";"2";"4";"816";2;"3";"1";"1910";32;47;20;79;0,3125;29;0;2189;58,1;41,9;5;0;2,5;1,25;30;5;100;3;"noband"
"19910804";"48";"37371";"2";"3";"4";"1";"1";"1";"4";"816";2;"4";"1";"1910";40;58;15,5;84;0,375;25;9;2000;52,8;38,2;5;0;3;1,1;35;5;103,125;3;"noband"
"19900426";"63";"34545";"2";"3";"4";"1";"1";"1";"3";"827";2;"4";"1";"1910";40;48;15;75;1;30;0;1720;61,7;38,3;0;0;2,5;3;33;2;103,2;3;"noband"
"19900617";"36";"34093";"3";"3";"4";"2";"1";"1";"3";"821";7;"4";"3";"1910";52;62;14,5;95;0,75;20;0;1950;58,8;41,2;0;0;2;1;38;3;100;3;"band"
"19910317";"48";"37355";"2";"3";"4";"1";"1";"2";"4";"816";9;"4";"1";"1910";49;43;14,5;74;0,75;23;9,1;1900;56,8;34,1;2;0;0,7;0,2;35;5;103,22;3;"band"
"19930421";"28";"37392";"2";"3";"4";"3";"3";"2";"3";"824";2;"4";"1";"1910";65;45;17;84;0,8125;27;35,8;1865;41,3;22,5;0;4;1,5;0,7;50;5;109,1;2;"band"
"19900926";"65";"25440";"3";"3";"4";"3";"1";"1";"3";"821";2;"4";"3";"1911";47;49;14,5;88;0,625;25;34,5;2000;43,5;22;0;0;2,5;0,7;40;5;96,97;1;"noband"
"19910815";"28";"35462";"2";"3";"2";"1";"1";"1";"3";"824";2;"4";"1";"1911";40;58;17;75;0,05625;30;0;1900;58,8;41,2;0;0;2,6;1,4;30;5;103,225;3;"band"
"19910419";"6";"37169";"2";"3";"2";"1";"1";"2";"3";"824";2;"4";"1";"1911";40;50;16;68;0,8125;30;0;2400;58,8;41,2;8;0;2,5;1,5;33;5;103,125;3;"noband"
"19900625";"56";"34092";"3";"3";"4";"3";"1";"2";"4";"815";2;"2";"1";"1910";65;49;13,5;82;0,625;30;0;1350;68,2;31,8;1;0;2,5;1;38;4;103,2;3;"band"
"19901031";"6";"34588";"2";"3";"2";"1";"1";"1";"4";"815";2;"4";"1";"1910";40;43;15,5;85;0,75;25;4,7;2000;58,1;37,2;0;0;2,5;1;33;5;96,77;3;"band"
"19910405";"59";"35754";"2";"3";"2";"1";"1";"2";"3";"824";2;"4";"1";"1910";50;43;16;70;0,8125;30;3,4;2400;56,8;39,8;0;0;2,5;0,8;30;5;103,125;3;"noband"
"19901209";"62";"35001";"3";"3";"4";"3";"1";"1";"4";"816";9;"3";"3";"1911";35;42;15,5;80;1;26;0;1800;62,5;37,5;3;0;2,5;2;40;5;100;3;"noband"
"19911104";"64";"35880";"2";"2";"2";"1";"1";"2";"4";"816";2;"2";"1";"1910";40;38;16,5;85;0,625;30;4,3;1900;53,2;42,5;0;0;3;1;30;5;103,13;3;"band"
"19911103";"64";"35880";"2";"2";"2";"1";"1";"1";"4";"816";2;"4";"1";"1910";40;40;15,7;85;0,3125;27;4,3;2050;53,2;42,5;1;0;2,5;1,5;30;5;103,13;3;"band"
"19910817";"62";"35529";"3";"3";"4";"3";"1";"2";"1";"802";7;"3";"1";"1910";45;63;15;80;0,75;50;0;1470;58,8;41,2;2;0;3;1;34;5;100;3;"band"
"19900825";"6";"38013";"2";"3";"4";"1";"1";"2";"3";"824";9;"4";"1";"1910";45;55;16,1;82;0,75;30;0;2400;58,8;41,2;0;0;2;0,8;30;7;93,75;3;"noband"
"19941007";"48";"85813";"2";"3";"3";"3";"3";"1";"3";"827";2;"4";"1";"1910";65;56;18,3;80;1;32;22;1900;41,3;22;0;4;3;2,3;60;5;110;3;"band"
"19900418";"29";"36858";"3";"3";"4";"3";"1";"2";"2";"813";5;"2";"3";"1910";60;43;15;94;1;20;9,5;1500;52,6;37,9;0;4;2,5;1;40;3;100;3;"band"
"19910422";"65";"25513";"3";"3";"4";"3";"1";"1";"3";"821";7;"4";"3";"1910";55;49;15;78;0,625;20;17,1;1900;47,6;35,2;0;0;2,5;0,85;34;5;106,45;3;"band"
"19900825";"6";"38013";"2";"3";"4";"1";"1";"2";"3";"824";2;"4";"1";"1910";40;55;15,4;80;0,8125;30;10,2;2400;51;38,8;0;0;1,7;0,7;30;7;93,75;3;"noband"
"19901218";"63";"34556";"2";"3";"2";"1";"1";"2";"4";"816";2;"3";"1";"1910";37;50;15,5;95;0,625;26;0;2350;62,5;37,5;1;0;2,6;0,6;30;5;106,45;3;"noband"
"19910430";"65";"25519";"3";"3";"4";"3";"1";"1";"3";"821";7;"4";"3";"1910";52;64;15,5;82;0,625;30;0;1800;71,4;28,6;4;0;2,5;0,9;34;5;103,125;3;"band"
"19901206";"65";"25450";"3";"3";"4";"3";"1";"2";"3";"821";2;"4";"3";"1911";50;42;15,5;73;0,625;20;3,6;1800;60,2;36,2;0;0;2,5;0,9;34;5;106,25;3;"noband"
"19910604";"48";"37365";"2";"3";"4";"1";"1";"2";"3";"828";2;"4";"4";"1910";47;68;16;80;0,75;30;0;2250;58,8;41,2;0;0;1,5;1;35;5;106,45;3;"noband"
"19910511";"63";"35816";"2";"3";"2";"1";"1";"2";"3";"827";2;"3";"1";"1910";47;68;14;78;0,75;22;0;1900;62,5;37,5;0;0;2,1;1,7;33;5;103,125;3;"band"
"19901001";"48";"36197";"2";"3";"4";"3";"1";"2";"4";"816";2;"4";"2";"1910";55;48;18;76;0,25;24;10;1600;60;30;0;0;3;0,9;35;5;93,55;1;"band"
"19900727";"58";"36644";"3";"3";"4";"3";"1";"1";"1";"802";7;"2";"3";"1910";60;53;14,7;70;0,75;50;20,2;1550;42;37,8;3;0;3;1;40;3;111,1;3;"noband"
"19910528";"53";"47203";"3";"3";"4";"3";"1";"2";"2";"813";1;"2";"3";"1910";50;68;13,4;70;0,25;16;20,4;1700;46,3;33,3;0;0;2,5;1;40;5;106,45;3;"band"
"19900614";"25";"34397";"3";"3";"4";"3";"1";"2";"2";"813";6;"2";"2";"1910";50;53;16,5;90;0,75;16;11,3;1300;51,5;37,1;0;0;2,5;0,7;28;3;100;3;"noband"
"19910430";"27";"35458";"2";"3";"2";"1";"1";"2";"4";"816";9;"4";"1";"1910";40;64;15,5;85;1;26;0;2400;58,8;41,2;0;0;2,5;1;30;5;103,125;3;"noband"
"19910727";"6";"37182";"2";"3";"2";"1";"1";"2";"3";"821";2;"4";"1";"1911";45;58;15;75;0,625;20;10,5;2100;52,6;36,8;0;0;2,5;0,7;33;5;103,125;3;"noband"
"19900921";"63";"34551";"2";"3";"2";"1";"1";"2";"4";"815";1;"3";"1";"1910";35;72;15,2;72;1;36;0;2200;65,2;34,8;0;0;2,5;1;30;5;93,6;1;"band"
"19910111";"59";"35751";"2";"3";"2";"1";"1";"2";"3";"827";2;"4";"1";"1911";50;46;16,5;75;0,75;30;0;2600;62,5;37,5;6;0;2,5;0,6;30;5;106,67;3;"noband"
"19910730";"59";"35761";"2";"3";"2";"1";"1";"2";"3";"828";2;"4";"1";"1910";35;59;16,1;82;0,05625;28;0;2500;58,8;41,2;0;0;2,5;1,3;30;5;100;3;"noband"
"19901001";"64";"34754";"2";"2";"2";"1";"1";"1";"3";"824";9;"4";"1";"1910";42;48;15;76;0,875;30;3,6;2050;60,2;36,2;0;0;2,5;1;30;5;93,55;1;"noband"
"19910323";"48";"37355";"2";"3";"2";"1";"1";"2";"3";"828";2;"4";"1";"1911";40;49;15,3;74;1;34;0;2000;62,5;37,5;0;0;2,2;1;35;5;100;3;"noband"
"19910719";"63";"88231";"2";"3";"2";"1";"1";"2";"4";"816";9;"3";"1";"1910";40;62;13,7;91;0,375;32;5,6;2300;55,6;38,9;2;0;2,5;1;33;5;100;3;"noband"
"19910322";"44";"38051";"2";"3";"4";"1";"1";"2";"4";"816";9;"4";"1";"1910";55;49;15,6;74;0,75;24;0;1650;58,8;41,2;0;0;2,5;1,7;33;5;103,33;3;"noband"
"19910214";"45";"35794";"2";"3";"4";"1";"1";"2";"3";"827";9;"4";"3";"1911";52;43;16,6;58;0,75;20;7,9;1480;56,2;36;0;0;1,7;0,7;33;5;103,12;3;"noband"
"19910112";"53";"47201";"3";"3";"4";"3";"3";"2";"1";"802";7;"2";"3";"1910";50;45;12;70;0,75;60;0;1650;60,2;39,8;1;0;3;1;40;5;103,22;3;"band"
"19910626";"51";"37938";"3";"3";"4";"3";"1";"1";"4";"816";9;"2";"3";"1910";45;65;16,3;78;0,75;32;3,4;1700;56,8;39,8;4;0;2,5;1;34;5;106,45;3;"band"
"19910415";"48";"32360";"2";"3";"4";"1";"1";"2";"3";"827";2;"4";"1";"1910";65;59;14,2;80;1;20;5,6;2600;55,6;38,9;0;0;2;2,5;33;5;106,45;3;"noband"
"19910402";"63";"35814";"2";"3";"4";"1";"1";"2";"3";"827";2;"3";"1";"1911";35;43;14;75;1,25;20;7,6;2600;54,3;38;0;0;2,5;2;33;5;106,66;3;"noband"
"19940927";"27";"38240";"2";"3";"4";"3";"3";"2";"3";"828";9;"4";"1";"1911";65;60;14,9;76;1;30;22,1;2500;42;34,6;1;4;0,5;0,5;50;5;112,5;3;"band"
"19900909";"53";"47103";"3";"3";"4";"3";"1";"1";"1";"802";7;"2";"3";"1911";60;50;14,5;70;0,75;45;15,6;1650;45,8;38,5;2;0;2,5;1;40;5;100;3;"noband"
"19900710";"53";"47104";"3";"3";"4";"3";"3";"2";"2";"813";5;"2";"3";"1911";50;56;14,6;74;0,75;16;7,5;1400;53,8;38,7;0;4;2,4;0,8;40;5;96,8;3;"noband"
"19910311";"48";"37386";"3";"3";"4";"3";"1";"2";"3";"824";9;"4";"5";"1911";40;40;18,5;85;0,5625;30;0;1900;62,5;37,5;4;0;1,8;1,4;40;5;106,45;3;"band"
"19901003";"65";"25441";"3";"3";"4";"3";"1";"1";"3";"821";7;"4";"3";"1910";55;50;17;89;1;22;10,4;1650;52,1;37,5;0;0;2,5;1,1;34;5;93,55;1;"band"
"19910215";"17";"37441";"2";"3";"2";"1";"1";"2";"3";"821";7;"4";"1";"1911";25;38;14;70;0,625;25;0;1600;58,8;41,2;5;0;1,7;0,9;30;5;103,12;3;"noband"
"19900719";"69";"36066";"2";"3";"2";"1";"1";"2";"3";"827";9;"4";"1";"1911";40;54;15;72;0,75;35;0;2500;58,5;41,5;0;0;2,1;1,1;30;5;100;3;"noband"
"19911124";"11";"37970";"2";"3";"4";"1";"1";"2";"1";"802";7;"2";"1";"1911";35;41;16,66;78;0,75;50;7,6;1490;54,3;38;0;0;3;1;35;5;106,7;3;"noband"
"19920317";"48";"34518";"2";"3";"4";"1";"3";"1";"3";"821";7;"2";"1";"1911";45;36;14;76;0,625;20;34,5;1700;41;34,6;0;6;2;0,9;50;5;100;3;"band"
"19910507";"53";"47203";"3";"3";"4";"3";"1";"1";"1";"802";7;"2";"3";"1910";50;55;13,34;74;0,625;16;4,8;1635;59,5;35,7;1;0;3;2;40;5;100;3;"noband"
"19910609";"27";"35460";"2";"3";"2";"1";"1";"1";"3";"824";2;"4";"1";"1910";40;62;16;80;0,8125;40;0;2250;62,5;37,5;0;0;2,5;0,7;30;5;110;3;"band"
"19910108";"65";"25503";"3";"3";"4";"3";"1";"2";"3";"821";2;"4";"3";"1911";55;46;17;78;0,75;20;13,1;1700;50,5;36,4;0;0;2,5;1;34;5;105;3;"band"
"19900831";"65";"25437";"3";"3";"4";"3";"1";"1";"3";"821";2;"4";"3";"1911";57;51;15,6;81;0,75;25;9,8;1850;49;41,2;0;0;2,7;0,6;34;1;100;3;"noband"
"19901211";"6";"34590";"2";"3";"2";"1";"1";"2";"3";"827";9;"4";"1";"1910";50;40;15;72;0,75;30;0;2233;58,8;41,2;8;0;1,5;1;33;5;106,45;3;"noband"
"19901209";"3";"27490";"2";"3";"4";"1";"1";"1";"1";"802";2;"2";"3";"1910";32;42;16;70;0,625;46;0;1350;60,2;39,8;0;0;3;1;34;5;100;3;"noband"
"19901212";"7";"38121";"3";"3";"4";"3";"1";"1";"4";"815";9;"2";"1";"1910";45;42;16;83;0,625;30;0;1950;58,8;41,2;0;0;2,5;1;40;5;106,45;3;"band"
"19920712";"42";"36568";"2";"3";"3";"3";"3";"1";"1";"816";2;"2";"1";"1911";65;56;15,1;78;0,5;29;35,8;1320;41,7;30;0;4;2,5;2,3;50;5;96,9;3;"band"
"19930908";"53";"47405";"2";"3";"2";"1";"3";"2";"1";"815";2;"2";"1";"1911";65;56;14;91;1,125;27;22;1650;41;22,5;0;4;3;1,5;60;5;100;2;"band"
"19911124";"11";"37970";"2";"3";"4";"1";"1";"2";"1";"802";2;"2";"1";"1910";27;41;17,58;80;0,75;50;3,4;1490;56,8;39,8;0;0;3;1;35;5;103,125;3;"noband"
"19910406";"11";"37822";"2";"3";"4";"1";"1";"2";"2";"813";1;"2";"3";"1910";40;44;15;68;0,75;16;0;1750;58,8;41,2;0;0;2,7;0,7;35;5;103,125;3;"noband"
"19920911";"48";"34534";"2";"3";"3";"3";"3";"2";"3";"821";7;"3";"1";"1911";70;50;15,7;82;0,05625;30;35,8;1850;41,7;28,6;0;6;3;3;50;5;103,22;3;"band"
"19910215";"60";"37869";"2";"3";"4";"1";"1";"2";"1";"802";7;"2";"3";"1911";35;38;12;62;0,75;46;4,7;1400;58,8;36,5;0;0;2;1;28;5;103,125;3;"noband"
"19900909";"53";"47105";"3";"3";"4";"3";"1";"1";"4";"816";2;"2";"3";"1910";60;50;14,9;88;0,375;32;10,3;1700;51,5;38,1;5;0;3;1,3;40;5;103,3;3;"noband"
"19901031";"48";"36165";"3";"3";"4";"3";"1";"1";"3";"828";9;"4";"3";"1910";65;42;17,5;100;1,125;25;17,5;2250;48,5;34;0;0;2,5;1;40;5;100;3;"noband"
"19900702";"72";"34367";"3";"3";"4";"3";"1";"2";"4";"816";9;"4";"3";"1911";62;47;17;75;0,75;30;14,3;1700;47,6;38,1;0;0;3;0,5;40;5;96,9;3;"band"
"19930309";"48";"85725";"2";"3";"3";"3";"3";"2";"3";"821";7;"4";"1";"1910";70;44;16,22;74;0,75;30;22,1;2200;41,7;22;1;6;2,8;0,8;50;5;106,6;2;"band"
"19910604";"48";"37305";"2";"3";"4";"1";"1";"2";"4";"815";9;"4";"4";"1911";35;68;15,1;90;0,875;30;6;1500;59,5;34,5;1;0;2,5;1;35;5;106,89;3;"band"
